1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.952530	1.000000	0.002445	2.0
1	-0.954815	1.000000	0.002153	1.8
2	-0.956837	1.000000	0.001869	31.2
3	-0.958587	1.000000	0.001633	8.4
4	-0.960089	1.000000	0.001388	1.4
5	-0.961362	1.000000	0.001147	1.2
6	-0.962398	1.000000	0.000928	0.8
7	-0.963202	1.000000	0.000727	0.7
8	-0.963855	1.000000	0.000592	0.8
9	-0.964398	1.000000	0.000501	1.1
10	-0.964871	1.000000	0.000445	0.8
11	-0.965288	1.000000	0.000412	0.8
12	-0.965674	1.000000	0.000386	1.8
13	-0.966040	1.000000	0.000359	1.7
14	-0.966383	1.000000	0.000335	0.7
15	-0.966699	1.000000	0.000314	0.8
16	-0.967005	1.000000	0.000291	0.8
17	-0.967290	1.000000	0.000273	1.3
18	-0.967549	1.000000	0.000259	1.3
19	-0.967798	1.000000	0.000247	1.4
20	-0.968023	1.000000	0.000238	1.3
21	-0.968216	1.000000	0.000244	1.3
22	-0.968378	1.000000	0.000261	1.1
23	-0.968510	0.500000	0.000294	1.2
24	-0.968613	0.500000	0.000193	0.8
25	-0.968703	0.500000	0.000197	1.6
26	-0.968787	0.500000	0.000197	1.7
27	-0.968873	0.500000	0.000194	1.2
28	-0.968956	0.500000	0.000193	1.2
29	-0.969047	0.500000	0.000185	1.0
30	-0.969133	0.500000	0.000185	1.1
31	-0.969211	0.500000	0.000194	1.0
32	-0.969283	0.500000	0.000195	1.0
33	-0.969355	0.500000	0.000193	0.8
34	-0.969433	0.500000	0.000188	0.8
35	-0.969508	0.500000	0.000185	0.8
36	-0.969579	0.500000	0.000180	0.7
37	-0.969647	0.500000	0.000178	0.7
38	-0.969715	0.500000	0.000181	0.8
39	-0.969793	0.500000	0.000195	0.8
40	-0.969846	0.500000	0.000194	0.8
41	-0.969898	0.500000	0.000208	0.9
42	-0.969937	0.250000	0.000212	1.2
43	-0.969979	0.250000	0.000147	0.8
44	-0.970010	0.250000	0.000150	0.7
45	-0.970039	0.250000	0.000160	0.8
46	-0.970065	0.250000	0.000153	0.8
47	-0.970096	0.250000	0.000140	0.8
48	-0.970125	0.250000	0.000141	0.9
49	-0.970155	0.250000	0.000140	0.7
50	-0.970185	0.250000	0.000143	0.9
51	-0.970212	0.250000	0.000150	1.1
52	-0.970240	0.250000	0.000142	1.0
53	-0.970270	0.250000	0.000145	0.8
54	-0.970297	0.250000	0.000154	0.8
55	-0.970322	0.250000	0.000157	0.8
56	-0.970349	0.250000	0.000141	0.7
57	-0.970378	0.250000	0.000142	0.7
58	-0.970409	0.250000	0.000149	0.7
59	-0.970434	0.250000	0.000153	0.8
60	-0.970460	0.250000	0.000139	0.8
61	-0.970488	0.250000	0.000137	1.0
62	-0.970511	0.250000	0.000146	0.9
63	-0.970538	0.250000	0.000144	1.0
64	-0.970562	0.250000	0.000147	0.8
65	-0.970586	0.250000	0.000149	0.7
66	-0.970610	0.250000	0.000143	0.9
67	-0.970634	0.250000	0.000138	0.7
68	-0.970658	0.250000	0.000157	0.7
69	-0.970677	0.250000	0.000154	0.7
70	-0.970701	0.250000	0.000164	0.9
71	-0.970716	0.250000	0.000160	0.7
72	-0.970740	0.250000	0.000145	0.8
73	-0.970760	0.250000	0.000160	0.8
74	-0.970777	0.125000	0.000167	0.7
75	-0.970792	0.125000	0.000123	0.7
76	-0.970806	0.125000	0.000121	0.8
77	-0.970818	0.125000	0.000128	0.7
78	-0.970830	0.125000	0.000123	0.7
79	-0.970843	0.125000	0.000125	0.7
80	-0.970855	0.125000	0.000127	0.7
