1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.968671	1.000000	0.002091	1.7
1	-0.970514	1.000000	0.001611	0.7
2	-0.971936	1.000000	0.001234	0.7
3	-0.973015	1.000000	0.000919	0.7
4	-0.973824	1.000000	0.000722	0.8
5	-0.974467	1.000000	0.000596	0.7
6	-0.974996	1.000000	0.000513	0.8
7	-0.975442	1.000000	0.000466	0.7
8	-0.975831	1.000000	0.000433	0.8
9	-0.976162	1.000000	0.000453	0.7
10	-0.976441	1.000000	0.000472	0.7
11	-0.976676	0.500000	0.000499	0.8
12	-0.976847	0.500000	0.000334	0.8
13	-0.976999	0.500000	0.000330	0.7
14	-0.977142	0.500000	0.000324	0.7
15	-0.977283	0.500000	0.000322	0.8
16	-0.977417	0.500000	0.000313	0.8
17	-0.977553	0.500000	0.000311	1.0
18	-0.977678	0.500000	0.000302	0.8
19	-0.977808	0.500000	0.000289	0.7
20	-0.977932	0.500000	0.000318	0.7
21	-0.978033	0.500000	0.000301	0.7
22	-0.978157	0.500000	0.000280	0.7
23	-0.978269	0.500000	0.000298	0.7
24	-0.978369	0.500000	0.000301	0.7
25	-0.978475	0.500000	0.000296	0.7
26	-0.978562	0.500000	0.000278	0.9
27	-0.978672	0.500000	0.000277	0.8
28	-0.978758	0.500000	0.000266	0.8
29	-0.978856	0.500000	0.000302	0.7
30	-0.978924	0.500000	0.000281	0.7
31	-0.979023	0.500000	0.000280	0.7
32	-0.979092	0.500000	0.000275	0.7
33	-0.979189	0.500000	0.000276	0.9
34	-0.979256	0.500000	0.000276	0.7
35	-0.979350	0.500000	0.000257	0.8
36	-0.979422	0.500000	0.000256	0.8
37	-0.979512	0.500000	0.000272	1.0
38	-0.979569	0.500000	0.000266	1.0
39	-0.979656	0.500000	0.000252	0.7
40	-0.979728	0.500000	0.000244	0.8
41	-0.979809	0.500000	0.000245	0.7
42	-0.979882	0.500000	0.000235	0.7
43	-0.979961	0.500000	0.000261	0.7
44	-0.980019	0.500000	0.000248	0.7
45	-0.980098	0.500000	0.000226	0.8
46	-0.980169	0.500000	0.000266	0.8
47	-0.980220	0.500000	0.000240	0.7
48	-0.980294	0.500000	0.000246	0.9
49	-0.980344	0.500000	0.000253	0.8
50	-0.980405	0.500000	0.000235	0.8
51	-0.980459	0.500000	0.000254	0.8
52	-0.980512	0.250000	0.000287	0.8
53	-0.980554	0.250000	0.000195	0.7
54	-0.980588	0.250000	0.000224	0.7
55	-0.980614	0.250000	0.000219	0.7
56	-0.980649	0.250000	0.000219	0.7
57	-0.980673	0.250000	0.000230	0.9
58	-0.980706	0.250000	0.000203	1.0
59	-0.980738	0.250000	0.000218	0.8
60	-0.980770	0.250000	0.000218	0.7
61	-0.980797	0.250000	0.000230	0.7
62	-0.980825	0.250000	0.000224	0.7
63	-0.980854	0.250000	0.000226	0.7
64	-0.980881	0.250000	0.000212	0.8
65	-0.980913	0.250000	0.000230	0.8
66	-0.980932	0.250000	0.000211	0.8
67	-0.980967	0.250000	0.000222	0.8
68	-0.980990	0.250000	0.000227	0.8
69	-0.981017	0.250000	0.000197	0.8
70	-0.981045	0.250000	0.000217	0.7
71	-0.981074	0.250000	0.000202	0.7
72	-0.981101	0.250000	0.000234	0.7
73	-0.981126	0.250000	0.000198	0.7
74	-0.981155	0.250000	0.000221	0.7
75	-0.981177	0.250000	0.000214	0.7
76	-0.981206	0.250000	0.000227	0.7
77	-0.981226	0.250000	0.000194	0.7
78	-0.981259	0.250000	0.000214	0.8
79	-0.981279	0.250000	0.000199	0.9
80	-0.981311	0.250000	0.000204	1.0
81	-0.981328	0.250000	0.000214	0.7
82	-0.981356	0.250000	0.000212	0.8
83	-0.981376	0.250000	0.000219	0.8
84	-0.981400	0.250000	0.000192	0.7
85	-0.981425	0.125000	0.000225	0.7
86	-0.981440	0.125000	0.000186	0.7
87	-0.981452	0.125000	0.000204	0.8
88	-0.981462	0.125000	0.000171	0.7
89	-0.981478	0.125000	0.000195	0.7
90	-0.981487	0.125000	0.000187	0.8
91	-0.981501	0.125000	0.000178	0.8
92	-0.981515	0.125000	0.000195	0.8
93	-0.981523	0.125000	0.000226	0.7
94	-0.981536	0.125000	0.000180	0.8
95	-0.981546	0.125000	0.000189	0.8
96	-0.981558	0.125000	0.000171	0.7
97	-0.981572	0.125000	0.000206	0.8
98	-0.981581	0.125000	0.000176	0.8
99	-0.981596	0.125000	0.000205	0.8
100	-0.981603	0.125000	0.000175	0.8
101	-0.981619	0.125000	0.000197	0.9
102	-0.981627	0.125000	0.000180	1.1
103	-0.981640	0.125000	0.000169	0.7
104	-0.981654	0.125000	0.000214	0.8
105	-0.981659	0.062500	0.000203	0.7
106	-0.981668	0.062500	0.000175	0.7
107	-0.981676	0.062500	0.000170	0.8
108	-0.981681	0.062500	0.000181	0.8
109	-0.981687	0.062500	0.000182	0.8
110	-0.981694	0.062500	0.000200	0.8
111	-0.981697	0.062500	0.000191	0.8
112	-0.981703	0.062500	0.000164	0.7
113	-0.981709	0.062500	0.000188	0.7
114	-0.981714	0.062500	0.000168	0.7
115	-0.981722	0.062500	0.000170	0.8
116	-0.981726	0.062500	0.000193	0.7
117	-0.981732	0.062500	0.000169	0.7
118	-0.981736	0.062500	0.000209	0.7
119	-0.981741	0.031250	0.000181	0.8
120	-0.981746	0.031250	0.000155	0.8
121	-0.981749	0.031250	0.000175	1.2
122	-0.981752	0.031250	0.000165	0.7
123	-0.981755	0.031250	0.000171	0.8
124	-0.981757	0.031250	0.000177	0.7
125	-0.981760	0.031250	0.000171	0.8
126	-0.981762	0.031250	0.000199	0.7
127	-0.981765	0.031250	0.000169	0.8
128	-0.981768	0.031250	0.000197	0.8
129	-0.981770	0.031250	0.000179	0.8
130	-0.981773	0.031250	0.000171	0.7
131	-0.981775	0.031250	0.000182	0.8
132	-0.981778	0.031250	0.000156	0.8
133	-0.981781	0.031250	0.000190	0.8
134	-0.981783	0.031250	0.000170	0.7
135	-0.981786	0.031250	0.000180	0.8
136	-0.981789	0.031250	0.000185	0.8
137	-0.981791	0.031250	0.000158	0.8
138	-0.981795	0.031250	0.000201	0.8
139	-0.981796	0.031250	0.000179	0.8
140	-0.981799	0.031250	0.000182	1.2
141	-0.981801	0.031250	0.000172	0.8
142	-0.981804	0.031250	0.000165	0.8
143	-0.981807	0.031250	0.000193	0.8
144	-0.981809	0.031250	0.000184	0.7
145	-0.981812	0.031250	0.000157	0.7
146	-0.981815	0.031250	0.000204	0.8
147	-0.981817	0.031250	0.000180	0.8
148	-0.981820	0.031250	0.000163	0.8
149	-0.981822	0.031250	0.000178	0.8
150	-0.981825	0.031250	0.000180	0.8
151	-0.981828	0.031250	0.000191	0.8
152	-0.981829	0.031250	0.000182	0.8
153	-0.981833	0.031250	0.000177	0.8
154	-0.981834	0.031250	0.000176	0.8
155	-0.981837	0.031250	0.000165	0.8
156	-0.981841	0.031250	0.000171	0.8
157	-0.981843	0.031250	0.000169	0.8
158	-0.981846	0.031250	0.000169	0.8
159	-0.981847	0.015625	0.000213	0.8
160	-0.981850	0.015625	0.000177	1.2
161	-0.981851	0.015625	0.000179	1.2
162	-0.981852	0.015625	0.000164	0.9
163	-0.981854	0.015625	0.000170	0.8
164	-0.981855	0.015625	0.000165	0.9
165	-0.981857	0.015625	0.000176	0.8
166	-0.981858	0.015625	0.000188	0.8
167	-0.981859	0.015625	0.000157	0.7
168	-0.981860	0.015625	0.000180	0.7
169	-0.981862	0.015625	0.000155	0.8
170	-0.981863	0.015625	0.000167	0.8
171	-0.981864	0.015625	0.000173	0.9
172	-0.981866	0.015625	0.000162	0.8
173	-0.981867	0.015625	0.000196	0.9
174	-0.981868	0.015625	0.000184	0.9
175	-0.981869	0.015625	0.000175	0.9
176	-0.981870	0.015625	0.000187	1.3
177	-0.981872	0.015625	0.000158	1.0
178	-0.981873	0.015625	0.000186	1.2
179	-0.981874	0.015625	0.000158	1.6
180	-0.981876	0.015625	0.000181	1.2
