1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.962960	1.000000	0.001084	2.4
1	-0.964015	1.000000	0.001023	0.7
2	-0.965008	1.000000	0.000964	0.7
3	-0.965942	1.000000	0.000904	0.7
4	-0.966818	1.000000	0.000847	0.8
5	-0.967633	1.000000	0.000786	0.7
6	-0.968390	1.000000	0.000728	0.7
7	-0.969079	1.000000	0.000676	0.7
8	-0.969706	1.000000	0.000624	0.7
9	-0.970283	1.000000	0.000575	0.8
10	-0.970836	1.000000	0.000530	0.7
11	-0.971333	1.000000	0.000488	0.7
12	-0.971801	1.000000	0.000451	0.7
13	-0.972224	1.000000	0.000418	0.7
14	-0.972617	1.000000	0.000389	0.7
15	-0.972992	1.000000	0.000364	0.8
16	-0.973329	1.000000	0.000342	0.9
17	-0.973651	1.000000	0.000322	1.0
18	-0.973965	1.000000	0.000306	0.8
19	-0.974263	1.000000	0.000292	0.7
20	-0.974538	1.000000	0.000278	0.7
21	-0.974804	1.000000	0.000265	0.7
22	-0.975064	1.000000	0.000254	0.7
23	-0.975303	1.000000	0.000243	0.8
24	-0.975541	1.000000	0.000233	0.8
25	-0.975782	1.000000	0.000224	0.8
26	-0.975996	1.000000	0.000216	0.7
27	-0.976206	1.000000	0.000208	0.7
28	-0.976411	1.000000	0.000200	0.7
29	-0.976607	1.000000	0.000194	0.7
30	-0.976798	1.000000	0.000187	0.7
31	-0.976981	1.000000	0.000180	0.7
32	-0.977153	1.000000	0.000175	0.7
33	-0.977334	1.000000	0.000170	0.7
34	-0.977502	1.000000	0.000166	0.7
35	-0.977673	1.000000	0.000161	0.7
36	-0.977832	1.000000	0.000157	0.9
37	-0.977987	1.000000	0.000153	0.8
38	-0.978138	1.000000	0.000149	1.1
39	-0.978286	1.000000	0.000146	0.9
40	-0.978430	1.000000	0.000143	0.8
41	-0.978571	1.000000	0.000140	0.7
42	-0.978717	1.000000	0.000137	0.7
43	-0.978859	1.000000	0.000134	0.7
44	-0.978992	1.000000	0.000131	0.7
45	-0.979127	1.000000	0.000129	0.8
46	-0.979255	1.000000	0.000127	0.7
47	-0.979395	1.000000	0.000125	0.9
48	-0.979518	1.000000	0.000122	0.7
49	-0.979647	1.000000	0.000120	0.8
50	-0.979766	1.000000	0.000118	0.7
51	-0.979894	1.000000	0.000115	0.7
52	-0.980008	1.000000	0.000113	0.7
